response,term,Sum Sq,Df,F value,Pr(>F)
sdi,s,0.011478787908126842,3,0.1673478494636784,0.9178581719779066
sdi,n:s,0.21933597296958474,9,1.065890803113353,0.4053169097802163
poxc,rep,358.68583650189976,2,0.4212439695702954,0.658735691487419
poxc,n,113439.73267771071,3,88.81644870840226,3.72193833223735e-19
poxc,s,1112.116464816012,3,0.8707199199395568,0.46314001264863525
poxc,n:s,3408.4914736316277,9,0.8895475479798155,0.5417751262515584
bg,rep,0.019305671736375207,2,0.7434653272096604,0.48108945491038313
bg,n,2.4634367930449947,3,63.24496643304018,2.3605816165757467e-16
bg,s,0.0985461305778611,3,2.5300209601882737,0.0687799674709113
bg,n:s,0.15649907520132667,9,1.3392913490959824,0.24367071388387243
nag,rep,0.053432620405576725,2,2.1511756733053775,0.12790854054091017
nag,n,1.1860846348164071,3,31.834191592221337,2.7231422157343662e-11
nag,s,0.051240280260470006,3,1.3752752975367648,0.262175118273151
nag,n:s,0.10556474183050002,9,0.9444430631027999,0.4969601507079281
ars,rep,0.018190747782002248,2,0.33223546817364724,0.7190252852978307
ars,n,0.24581789432124923,3,2.9930755342956394,0.04039297165903071
ars,s,15.966660182917874,3,194.4098499820758,3.9386429059247185e-26
ars,n:s,0.11752648079240569,9,0.47700030851823433,0.8825310235156475
p_h,rep,0.018067173637515865,2,0.8712862078129185,0.42520305097168537
p_h,n,4.0059836135898,3,128.79189411961076,2.1655469659062395e-22
p_h,s,0.020003972753384114,3,0.6431253318374746,0.5912312864515032
p_h,n:s,0.6156454532515991,9,6.597642566602769,5.48748039761045e-6
